"Concat (VV Vendor,UPC)",Preferred,Preferred (1),Supplier Supported Tasting Item,Distributor,Supplier,Item Number,Product UPC,Product Description,THC Mg per unit,Department,Category,Sub Category,Size,Units/Case,Deal Description,Case 1 (Retail),Deepest Invoice (Market),Top Ten Invoice Cost,Free Case Value,Buy Qty,Free Qty,Freight,Net Case,Net/Unit,Discount To Market,Retail,Club,GM%,Avg Retail,Avg Club,Avg Sale,Total Wine,Sales Ranking,Competitor Pricing,Concatenate NS Vendor Name,Distributor (1),CR Vendor Name,Category (for markup),Markup %,Invoice Price,Invoice Price Check against CR,REMOVE?,Supplier Supported Tasting Item (1),Distributor (2),Supplier (1),Item Number (1),Product UPC (1),Product Description (1),Department (1),Size (1),Units/Case (1),Deal Description (1),Buy Months (if appl.),Case 1 (Retail) (1),Buy Month Invoice,Non-Buy Month Invoice,Free Case Value (1),Buy Qty (1),Free Qty (1),Freight (1),EO $,EO Cases,EO Period,EO Notes,EO Notes (1),New PV Function,September,October
Get Chai669185403787,Get Chai,Yes,,Get Chai,Leafy,669185403787,669185403787,Leafy Espresso Martini 10mg THC 12oz can,10,THC,Beverages,Cocktail,12oz can,12,60 Day Reorder Time,,,26.7,,,,,26.7,2.225,,3.99,2.96,0.24831081081081077,5.99,4.96,0,,,Alot More - Varies ,Get Chai669185403787,Get Chai,Get Chai,Beverages,0.5,26.7,25.56,,,,,,,,,,,,,,,,,,,,,,,,,,,
Get Chai669185409222,Get Chai,Yes,,Get Chai,Leafy,669185409222,669185409222,Leafy Georgia Peach Gummies 5mg THC 10 Pack,5,THC,Edibles,Gummy,10 Pack,10,60 Day Reorder Time,,,31.3,,,,,31.3,3.13,,5.99,4.96,0.3689516129032258,11.49,9.96,0,X,97,Alot More - Varies ,Get Chai669185409222,Get Chai,Get Chai,Edibles,0.5,31.3,30.299999999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,
Get Chai669185541014,Get Chai,Yes,,Get Chai,Leafy,669185541014,669185541014,Leafy Italian Roast Coffee 10mg 12oz can,10mg,THC,Beverages,Coffee,12oz can,12,60 Day Reorder Time,,,26.7,,,,,26.7,2.225,,3.99,2.96,0.24831081081081077,5.99,4.96,0,,,,Get Chai669185541014,Get Chai,Get Chai,Beverages,0.5,26.7,28.6704,,,,,,,,,,,,,,,,,,,,,,,,,,,
Get Chai669185403756,Get Chai,Yes,,Get Chai,Leafy,669185403756,669185403756,Leafy Margarita 10mg THC 12oz can,10,THC,Beverages,Cocktail,12oz can,24,60 Day Reorder Time,,,53.4,,,,,53.4,2.225,,3.99,2.96,0.24831081081081077,5.99,4.96,0,,,Alot More - Varies ,Get Chai669185403756,Get Chai,Get Chai,Beverages,0.5,53.4,51.12,,,,,,,,,,,,,,,,,,,,,,,,,,,
Get Chai669185540987,Get Chai,Yes,,Get Chai,Leafy,669185540987,669185540987,Leafy Maui Fruit Punch 10mg 2oz btl,10MG,THC,Beverages,Shot,2oz,48,60 Day Reorder Time,,,63.84,,,,,63.84,1.33,,1.99,1.96,0.3214285714285714,4.46,3.96,0,,,,Get Chai669185540987,Get Chai,Get Chai,Beverages,0.5,63.84,63.84,,,,,,,,,,,,,,,,,,,,,,,,,,,
Get Chai669185409239,Get Chai,Yes,,Get Chai,Leafy,669185409239,669185409239,Leafy Maui Pineapple Gummies 5mg THC 10 Pack,5,THC,Edibles,Gummy,10 Pack,10,60 Day Reorder Time,,,31.3,,,,,31.3,3.13,,5.99,4.96,0.3689516129032258,11.49,9.96,0,X,105,Alot More - Varies ,Get Chai669185409239,Get Chai,Get Chai,Edibles,0.5,31.3,30.299999999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,
Get Chai669185403800,Get Chai,Yes,,Get Chai,Leafy,669185403800,669185403800,Leafy Old Fashioned 10mg THC 12oz can,10,THC,Beverages,Cocktail,12oz can,24,60 Day Reorder Time,,,53.4,,,,,53.4,2.225,,3.99,2.96,0.24831081081081077,5.99,4.96,0,,,Alot More - Varies ,Get Chai669185403800,Get Chai,Get Chai,Beverages,0.5,53.4,51.12,,,,,,,,,,,,,,,,,,,,,,,,,,,
Get Chai669185541052,Get Chai,Yes,,Get Chai,Leafy,669185541052,669185541052,Leafy Orchard Grape 10mg 2oz btl,10MG,THC,Beverages,Shot,2oz,48,60 Day Reorder Time,,,63.84,,,,,63.84,1.33,,1.99,1.96,0.3214285714285714,4.46,3.96,0,,,,Get Chai669185541052,Get Chai,Get Chai,Beverages,0.5,63.84,63.84,,,,,,,,,,,,,,,,,,,,,,,,,,,
Get Chai669185403763,Get Chai,Yes,,Get Chai,Leafy,669185403763,669185403763,Leafy Raspberry Tea 10mg THC 12oz can,10,THC,Beverages,Tea,12oz can,24,60 Day Reorder Time,,,53.4,,,,,53.4,2.225,,3.99,2.96,0.24831081081081077,5.99,4.96,0,,,Alot More - Varies ,Get Chai669185403763,Get Chai,Get Chai,Beverages,0.5,53.4,51.12,,,,,,,,,,,,,,,,,,,,,,,,,,,
Get Chai669185409246,Get Chai,Yes,,Get Chai,Leafy,669185409246,669185409246,Leafy Sour Blue Raspberry Gummies 5mg THC 10 Pack,5,THC,Edibles,Gummy,10 Pack,10,60 Day Reorder Time,,,31.3,,,,,31.3,3.13,,5.99,4.96,0.3689516129032258,11.49,9.96,0,X,104,Alot More - Varies ,Get Chai669185409246,Get Chai,Get Chai,Edibles,0.5,31.3,30.299999999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,
Get Chai669185409253,Get Chai,Yes,,Get Chai,Leafy,669185409253,669185409253,Leafy Sour Watermelon Gummies 5mg THC 10 Pack,5,THC,Edibles,Gummy,10 Pack,10,60 Day Reorder Time,,,31.3,,,,,31.3,3.13,,5.99,4.96,0.3689516129032258,11.49,9.96,0,X,71,Alot More - Varies ,Get Chai669185409253,Get Chai,Get Chai,Edibles,0.5,31.3,30.299999999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,
Get Chai669185409208,Get Chai,Yes,,Get Chai,Leafy,669185409208,669185409208,Leafy Sparkling Wild Cherry 10mg THC 12oz can,10,THC,Beverages,Seltzer,12oz can,24,60 Day Reorder Time,,,53.4,,,,,53.4,2.225,,3.99,2.96,0.24831081081081077,5.99,4.96,0,X,130,Alot More - Varies ,Get Chai669185409208,Get Chai,Get Chai,Beverages,0.5,53.4,51.12,,,,,,,,,,,,,,,,,,,,,,,,,,,
Get Chai669185409215,Get Chai,Yes,,Get Chai,Leafy,669185409215,669185409215,Leafy Sparkling Wild Straw Lemon Basil 10mg THC 12oz can,10,THC,Beverages,Seltzer,12oz can,24,60 Day Reorder Time,,,53.4,,,,,53.4,2.225,,3.99,2.96,0.24831081081081077,5.99,4.96,0,X,125,Alot More - Varies ,Get Chai669185409215,Get Chai,Get Chai,Beverages,0.5,53.4,51.12,,,,,,,,,,,,,,,,,,,,,,,,,,,
Get Chai669185541021,Get Chai,Yes,,Get Chai,Leafy,669185541021,669185541021,Leafy Sunshine Peach 10mg 2oz btl,10MG,THC,Beverages,Shot,2oz,48,60 Day Reorder Time,,,63.84,,,,,63.84,1.33,,1.99,1.96,0.3214285714285714,4.46,3.96,0,,,,Get Chai669185541021,Get Chai,Get Chai,Beverages,0.5,63.84,63.84,,,,,,,,,,,,,,,,,,,,,,,,,,,
Get Chai669185403794,Get Chai,Yes,,Get Chai,Leafy,669185403794,669185403794,Leafy Sweet Tea Lemonade 10mg THC 12oz can,10,THC,Beverages,Tea/Lemonade,12oz can,24,60 Day Reorder Time,,,53.4,,,,,53.4,2.225,,3.99,2.96,0.24831081081081077,5.99,4.96,0,,,Alot More - Varies ,Get Chai669185403794,Get Chai,Get Chai,Beverages,0.5,53.4,51.12,,,,,,,,,,,,,,,,,,,,,,,,,,,
Get Chai669185403817,Get Chai,Yes,,Get Chai,Leafy,669185403817,669185403817,Leafy White Peach Bellini 10mg THC 12oz can,10,THC,Beverages,Cocktail,12oz can,24,60 Day Reorder Time,,,53.4,,,,,53.4,2.225,,3.99,2.96,0.24831081081081077,5.99,4.96,0,X,77,Alot More - Varies ,Get Chai669185403817,Get Chai,Get Chai,Beverages,0.5,53.4,51.12,,,,,,,,,,,,,,,,,,,,,,,,,,,
Get Chai669185409277,Get Chai,Yes,,Get Chai,Leafy,669185409277,669185409277,Leafy Wildberry Gummies 5mg THC 10 Pack,5,THC,Edibles,Gummy,10 Pack,10,60 Day Reorder Time,,,31.3,,,,,31.3,3.13,,5.99,4.96,0.3689516129032258,11.49,9.96,0,X,111,Alot More - Varies ,Get Chai669185409277,Get Chai,Get Chai,Edibles,0.5,31.3,30.299999999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,
Capitol Beverage Sales685165387106,Dahlheimer Beverage Monticello,,,Capitol Beverage Sales,Lift Bridge ,31795,685165387106,Lift Bridge Believer Dream 10mg THC 4pk 12oz can,10,THC,Beverages,,4pk 12oz can,6,Lift Bridge Supports to Hit Pricing,63,63,63,12.6,1,1,,50.4,8.4,0.20000000000000007,15.99,12.96,0.35185185185185186,14.99,12.96,0,X,,,Capitol Beverage Sales685165387106,Capitol Beverage Sales,Capitol Beverage Sales,Beverages,0.5,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"College City Beverage, Inc.685165387106",Dahlheimer Beverage Monticello,,,"College City Beverage, Inc.",Lift Bridge ,685165387106,685165387106,Lift Bridge Believer Dream 10mg THC 4pk 12oz can,10,THC,Beverages,,4pk 12oz can,6,Lift Bridge Supports to Hit Pricing,63,58,58,12.6,1,1,,45.4,7.566666666666666,0.21724137931034482,13.99,11.96,0.36733556298773695,14.99,12.96,0,X,,,"College City Beverage, Inc.685165387106","College City Beverage, Inc.","College City Beverage, Inc.",Beverages,0.5,58,63,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dahlheimer Beverage Monticello685165387106,Dahlheimer Beverage Monticello,Yes,,Dahlheimer Beverage Monticello,Lift Bridge ,27807,685165387106,Lift Bridge Believer Dream 10mg THC 4pk 12oz can,10,THC,Beverages,,4pk 12oz can,6,Lift Bridge Supports to Hit Pricing,63.5,52,52,12.6,1,1,,39.4,6.566666666666666,0.24230769230769234,11.99,9.96,0.3406961178045516,14.99,12.96,0,X,,,Dahlheimer Beverage Monticello685165387106,Dahlheimer Beverage Monticello,Dahlheimer Beverage Monticello,Beverages,0.5,52,63.49979999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,
Capitol Beverage Sales685165387076,Dahlheimer Beverage Monticello,,,Capitol Beverage Sales,Lift Bridge ,31789,685165387076,Lift Bridge Believer Float 10mg THC 4pk 12oz can,10,THC,Beverages,,4pk 12oz can,6,Lift Bridge Supports to Hit Pricing,63,63,63,12.6,1,1,,50.4,8.4,0.20000000000000007,15.99,12.96,0.35185185185185186,14.99,12.96,0,X,,,Capitol Beverage Sales685165387076,Capitol Beverage Sales,Capitol Beverage Sales,Beverages,0.5,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"College City Beverage, Inc.685165387076",Dahlheimer Beverage Monticello,,,"College City Beverage, Inc.",Lift Bridge ,685165387076,685165387076,Lift Bridge Believer Float 10mg THC 4pk 12oz can,10,THC,Beverages,,4pk 12oz can,6,Lift Bridge Supports to Hit Pricing,63,58,58,12.6,1,1,,45.4,7.566666666666666,0.21724137931034482,13.99,11.96,0.36733556298773695,14.99,12.96,0,X,,,"College City Beverage, Inc.685165387076","College City Beverage, Inc.","College City Beverage, Inc.",Beverages,0.5,58,63,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dahlheimer Beverage Monticello685165387076,Dahlheimer Beverage Monticello,Yes,,Dahlheimer Beverage Monticello,Lift Bridge ,27809,685165387076,Lift Bridge Believer Float 10mg THC 4pk 12oz can,10,THC,Beverages,,4pk 12oz can,6,Lift Bridge Supports to Hit Pricing,63.5,52,52,12.6,1,1,,39.4,6.566666666666666,0.24230769230769234,11.99,9.96,0.3406961178045516,14.99,12.96,0,X,,,Dahlheimer Beverage Monticello685165387076,Dahlheimer Beverage Monticello,Dahlheimer Beverage Monticello,Beverages,0.5,52,52.00020000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,
Capitol Beverage Sales685165387120,Dahlheimer Beverage Monticello,,,Capitol Beverage Sales,Lift Bridge ,31791,685165387120,Lift Bridge Big Believer Variety Pack THC 12pk 12oz can,10,THC,Beverages,,12pk 12oz can,2,Lift Bridge Supports to Hit Pricing,51.8,51.8,51.8,10.36,1,1,,41.44,20.72,0.19999999999999996,36.99,30.96,0.33074935400516803,36.99,31.96,0,X,,,Capitol Beverage Sales685165387120,Capitol Beverage Sales,Capitol Beverage Sales,Beverages,0.5,51.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"College City Beverage, Inc.685165387120",Dahlheimer Beverage Monticello,,,"College City Beverage, Inc.",Lift Bridge ,685165387120,685165387120,Lift Bridge Big Believer Variety Pack THC 12pk 12oz can,10,THC,Beverages,,12pk 12oz can,2,Lift Bridge Supports to Hit Pricing,51.8,46.8,46.8,10.36,1,1,,36.44,18.22,0.22136752136752136,36.99,30.96,0.41149870801033595,36.99,31.96,0,X,,,"College City Beverage, Inc.685165387120","College City Beverage, Inc.","College City Beverage, Inc.",Beverages,0.5,46.8,46.8,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dahlheimer Beverage Monticello685165387120,Dahlheimer Beverage Monticello,Yes,,Dahlheimer Beverage Monticello,Lift Bridge ,27899,685165387120,Lift Bridge Big Believer Variety Pack THC 12pk 12oz can,10,THC,Beverages,,12pk 12oz can,2,Lift Bridge Supports to Hit Pricing,53,53,53,10.36,1,1,,42.64,21.32,0.19547169811320753,36.99,30.96,0.3113695090439277,36.99,31.96,0,X,,,Dahlheimer Beverage Monticello685165387120,Dahlheimer Beverage Monticello,Dahlheimer Beverage Monticello,Beverages,0.5,53,53,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dahlheimer Beverage Monticello685165385218,Dahlheimer Beverage Monticello,Yes,,Dahlheimer Beverage Monticello,Lift Bridge,27878,685165385218,Lift Bridge Fruit Cup 10mg THC 4pk 12oz can,10,THC,Beverages,,4pk 12oz can,6,$14.40/cs Rebate paid out by LB at the end of each quarter,,,72,12.6,1,1,,59.4,9.9,,17.99,14.96,0.3382352941176471,18.99,14.96,0,14.99,145,,Dahlheimer Beverage Monticello685165385218,Dahlheimer Beverage Monticello,Dahlheimer Beverage Monticello,Beverages,0.5,72,63.49979999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dahlheimer Beverage Monticello685165385119,Dahlheimer Beverage Monticello,Yes,,Dahlheimer Beverage Monticello,Lift Bridge,27877,685165385119,Lift Bridge Limelon 10mg THC 4pk 12oz can,10,THC,Beverages,,4pk 12oz can,6,$14.40/cs Rebate paid out by LB at the end of each quarter,,,72,12.6,1,1,,59.4,9.9,,17.99,14.96,0.3382352941176471,18.99,14.96,0,,,,Dahlheimer Beverage Monticello685165385119,Dahlheimer Beverage Monticello,Dahlheimer Beverage Monticello,Beverages,0.5,72,63.49979999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global Reserve LLC198715259247, ,,,Global Reserve LLC,Looner,,198715259247,Looner - Classic Lemonade 10mg 4pk 12oz can,10,THC,Beverages,,4pk 12oz can,6,,84,84,67.2,,,,,67.2,11.200000000000001,0.19999999999999996,21.99,17.96,0.37639198218262804,,,,,,,Global Reserve LLC198715259247,Global Reserve LLC,Global Reserve LLC,,0.5,67.2,, , ,Global Reserve LLC,Looner, ,198715259247,Looner - Classic Lemonade 10mg 4pk 12oz can,10,THC,Beverages, ,4pk 12oz can,6, ,84,84,67.2, , , , ,67.2,11.200000000000001,,,,
Global Reserve LLC198715952650, ,,,Global Reserve LLC,Looner,,198715952650,Looner - Half and Half 10mg 4pk 12oz can,10,THC,Beverages,,4pk 12oz can,6,,84,84,67.2,,,,,67.2,11.200000000000001,0.19999999999999996,19.99,16.96,0.33962264150943394,,,,,,,Global Reserve LLC198715952650,Global Reserve LLC,Global Reserve LLC,,0.5,67.2,, , ,Global Reserve LLC,Looner, ,198715952650,Looner - Half and Half 10mg 4pk 12oz can,10,THC,Beverages, ,4pk 12oz can,6, ,84,84,67.2, , , , ,67.2,11.200000000000001,,,,
Global Reserve LLC198715262681, ,,,Global Reserve LLC,Looner,,198715262681,Looner - Peach Lemonade 10mg 4pk 12oz can,10,THC,Beverages,,4pk 12oz can,6,,84,84,67.2,,,,,67.2,11.200000000000001,0.19999999999999996,19.99,16.96,0.33962264150943394,,,,,,,Global Reserve LLC198715262681,Global Reserve LLC,Global Reserve LLC,,0.5,67.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global Reserve LLC198715590043, ,,,Global Reserve LLC,Looner,,198715590043,Looner - Pink Lemonade 10mg 4pk 12oz can,10,THC,Beverages,,4pk 12oz can,6,,84,84,67.2,,,,,67.2,11.200000000000001,0.19999999999999996,19.99,16.96,0.33962264150943394,,,,,,,Global Reserve LLC198715590043,Global Reserve LLC,Global Reserve LLC,,0.5,67.2,, , ,Global Reserve LLC,Looner, ,198715590043,Looner - Pink Lemonade 10mg 4pk 12oz can,10,THC,Beverages, ,4pk 12oz can,6, ,84,84,67.2, , , , ,67.2,11.200000000000001,,,,
Global Reserve LLC197644256563, ,,,Global Reserve LLC,Looner,,197644256563,Looner Cola 10mg THC 4pk 12oz can,10,THC,Beverages,,4pk 12oz can,6,,84,84,67.2,,,,,67.2,11.200000000000001,0.19999999999999996,19.99,16.96,0.33962264150943394,,,,,,Alot More - Varies ,Global Reserve LLC197644256563,Global Reserve LLC,Global Reserve LLC,,0.5,67.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global Reserve LLC197644189328, ,,,Global Reserve LLC,Looner,,197644189328,Looner Creme 10mg THC Soda 4pk 12oz can,10,THC,Beverages,,4pk 12oz can,6,,84,84,67.2,,,,,67.2,11.200000000000001,0.19999999999999996,19.99,16.96,0.33962264150943394,,,,17.99,23,Alot More - Varies ,Global Reserve LLC197644189328,Global Reserve LLC,Global Reserve LLC,,0.5,67.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global Reserve LLC197644293414,Global Reserve LLC,Yes,,Global Reserve LLC,Looner,,197644293414,Looner Creme 5mg THC 4pk 12oz can,5,THC,Beverages,,4pk 12oz can,6,,52,52,41.96,,,,,41.96,6.993333333333333,0.19307692307692303,12.99,10.96,0.3619221411192215,11.49,9.96,0,,,Alot More - Varies ,Global Reserve LLC197644293414,Global Reserve LLC,Global Reserve LLC,Beverages,0.5,41.96,41.9598,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global Reserve LLC198168851333, ,,,Global Reserve LLC,Looner,,198168851333,Looner Lemon Lime 10mg THC 4pk 12oz can,10,THC,Beverages,,4pk 12oz can,6,,84,84,67.2,,,,,67.2,11.200000000000001,0.19999999999999996,19.99,16.96,0.33962264150943394,,,,17.99,95,Alot More - Varies ,Global Reserve LLC198168851333,Global Reserve LLC,Global Reserve LLC,,0.5,67.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global Reserve LLC199284895157,Global Reserve LLC,Yes,Yes,Global Reserve LLC,Looner,,199284895157,Looner Lemonade Variety Pack 12pk 12oz can,10,THC,Beverages,,12pk 12oz can,2,,70,68,55,,,,,55,27.5,0.19117647058823528,53.99,44.96,0.38834519572953735,52.99,44.96,0,X,84,,Global Reserve LLC199284895157,Global Reserve LLC,Global Reserve LLC,Beverages,0.5,55,55,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global Reserve LLC197644672905, ,,,Global Reserve LLC,Looner,,197644672905,Looner Mocktail Mule 10mg THC 4pk 12oz can,10,THC,Beverages,,4pk 12oz can,6,,84,84,67.2,,,,,67.2,11.200000000000001,0.19999999999999996,19.99,16.96,0.33962264150943394,,,,17.99,150,Alot More - Varies ,Global Reserve LLC197644672905,Global Reserve LLC,Global Reserve LLC,,0.5,67.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global Reserve LLC198168881026, ,,,Global Reserve LLC,Looner,,198168881026,Looner Professor Pepper 10mg THC 4pk 12oz can,10,THC,Beverages,,4pk 12oz can,6,,84,84,67.2,,,,,67.2,11.200000000000001,0.19999999999999996,19.99,16.96,0.33962264150943394,,,,17.99,15,Alot More - Varies ,Global Reserve LLC198168881026,Global Reserve LLC,Global Reserve LLC,,0.5,67.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global Reserve LLC197644704392, ,,,Global Reserve LLC,Looner,,197644704392,Looner Root Beer 10mg THC Soda 4pk 12oz can,10,THC,Beverages,,4pk 12oz can,6,,84,84,67.2,,,,,67.2,11.200000000000001,0.19999999999999996,19.99,16.96,0.33962264150943394,,,,17.99,9,Alot More - Varies ,Global Reserve LLC197644704392,Global Reserve LLC,Global Reserve LLC,,0.5,67.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global Reserve LLC197644490271,Global Reserve LLC,Yes,,Global Reserve LLC,Looner,,197644490271,Looner Root Beer 5mg THC 4pk 12oz can,5,THC,Beverages,,4pk 12oz can,6,,52,52,41.96,,,,,41.96,6.993333333333333,0.19307692307692303,12.99,10.96,0.3619221411192215,11.49,9.96,0,,,Alot More - Varies ,Global Reserve LLC197644490271,Global Reserve LLC,Global Reserve LLC,Beverages,0.5,41.96,41.9598,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global Reserve LLC199284405967,Global Reserve LLC,Yes,Yes,Global Reserve LLC,Looner,,199284405967,Looner Sodas Variety Pack 12pk 12oz can,10,THC,Beverages,,12pk 12oz can,2,,70,68,55,,,,,55,27.5,0.19117647058823528,51.99,42.96,0.35986964618249534,52.99,40.96,0,50.99,11,,Global Reserve LLC199284405967,Global Reserve LLC,Global Reserve LLC,Beverages,0.5,55,55,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global Reserve LLC198715075960,Global Reserve LLC,Yes,Yes,Global Reserve LLC,Looner,,198715075960,"Looner Spirits Unflavored 750ml
",50,THC,Beverages,,750ml,6,,147,147,110,,,,,110,18.333333333333332,0.2517006802721088,30.99,25.96,0.29378531073446335,32.99,29.96,0,,,,Global Reserve LLC198715075960,Global Reserve LLC,Global Reserve LLC,Beverages,0.5,110,109.99980000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global Reserve LLC197644620692, ,,,Global Reserve LLC,Looner,,197644620692,Looner Sweet Orange 10mg THC Soda 4pk 12oz can,10,THC,Beverages,,4pk 12oz can,6,,84,84,67.2,,,,,67.2,11.200000000000001,0.19999999999999996,19.99,16.96,0.33962264150943394,,,,17.99,28,Alot More - Varies ,Global Reserve LLC197644620692,Global Reserve LLC,Global Reserve LLC,,0.5,67.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global Reserve LLC197644401932,Global Reserve LLC,Yes,,Global Reserve LLC,Looner,,197644401932,Looner Sweet Orange 5mg THC 4pk 12oz can,5,THC,Beverages,,4pk 12oz can,6,,52,52,41.96,,,,,41.96,6.993333333333333,0.19307692307692303,12.99,10.96,0.3619221411192215,11.49,9.96,0,,,Alot More - Varies ,Global Reserve LLC197644401932,Global Reserve LLC,Global Reserve LLC,Beverages,0.5,41.96,41.9598,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global Reserve LLC197644908578, ,,,Global Reserve LLC,Looner,,197644908578,Looner Wild Grape 10mg THC 4pk 12oz can,10,THC,Beverages,,4pk 12oz can,6,,84,84,67.2,,,,,67.2,11.200000000000001,0.19999999999999996,19.99,16.96,0.33962264150943394,,,,17.99,18,Alot More - Varies ,Global Reserve LLC197644908578,Global Reserve LLC,Global Reserve LLC,,0.5,67.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global Reserve LLC197644147694,Global Reserve LLC,Yes,,Global Reserve LLC,Looner,,197644147694,Looner Wild Grape 5mg THC 4pk 12oz can,5,THC,Beverages,,4pk 12oz can,6,,52,52,41.96,,,,,41.96,6.993333333333333,0.19307692307692303,12.99,10.96,0.3619221411192215,11.49,9.96,0,,,Alot More - Varies ,Global Reserve LLC197644147694,Global Reserve LLC,Global Reserve LLC,Beverages,0.5,41.96,41.9598,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Capitol Beverage Sales, L.P.620221420205","Capitol Beverage Sales, L.P.",Yes,,"Capitol Beverage Sales, L.P.",Mary Jones,30901,620221420205,Mary Jones Berry Lemonade 10mg THC 4pk 12oz can,10,THC,Beverages,,4pk 12oz can,6,Extra on 12pk to make up for 4pk,,76,58.4,,,,,58.4,9.733333333333333,0.2315789473684211,17.99,14.96,0.34937611408199654,20.99,17.96,0,,,Alot More - Varies ,"Capitol Beverage Sales, L.P.620221420205","Capitol Beverage Sales, L.P.","Capitol Beverage Sales, L.P.",Beverages,0.5,58.4,58.3998,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Capitol Beverage Sales, L.P.620221420120","Capitol Beverage Sales, L.P.",Yes,,"Capitol Beverage Sales, L.P.",Mary Jones,30903,620221420120,Mary Jones Green Apple 10mg THC 4pk 12oz can,10,THC,Beverages,,4pk 12oz can,6,Extra on 12pk to make up for 4pk,,76,58.4,,,,,58.4,9.733333333333333,0.2315789473684211,17.99,14.96,0.34937611408199654,20.99,17.96,0,,,Alot More - Varies ,"Capitol Beverage Sales, L.P.620221420120","Capitol Beverage Sales, L.P.","Capitol Beverage Sales, L.P.",Beverages,0.5,58.4,70.0002,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Capitol Beverage Sales, L.P.602221420034","Capitol Beverage Sales, L.P.",Yes,,"Capitol Beverage Sales, L.P.",Mary Jones,30905,602221420034,Mary Jones Orange Cream 10mg THC 4pk 12oz can,10,THC,Beverages,,4pk 12oz can,6,Extra on 12pk to make up for 4pk,,76,58.4,,,,,58.4,9.733333333333333,0.2315789473684211,17.99,14.96,0.34937611408199654,20.99,17.96,0,,,Alot More - Varies ,"Capitol Beverage Sales, L.P.602221420034","Capitol Beverage Sales, L.P.","Capitol Beverage Sales, L.P.",Beverages,0.5,58.4,70.0002,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Capitol Beverage Sales, L.P.602221420089","Capitol Beverage Sales, L.P.",Yes,,"Capitol Beverage Sales, L.P.",Mary Jones,30907,602221420089,Mary Jones Root Beer 10mg THC 4pk 12oz can,10,THC,Beverages,,4pk 12oz can,6,Extra on 12pk to make up for 4pk,,76,58.4,,,,,58.4,9.733333333333333,0.2315789473684211,17.99,14.96,0.34937611408199654,20.99,17.96,0,,,Alot More - Varies ,"Capitol Beverage Sales, L.P.602221420089","Capitol Beverage Sales, L.P.","Capitol Beverage Sales, L.P.",Beverages,0.5,58.4,70.0002,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Capitol Beverage Sales, L.P.620221425903","Capitol Beverage Sales, L.P.",Yes,,"Capitol Beverage Sales, L.P.",Mary Jones,30917,620221425903,Mary Jones Variety Pack 10mg THC 12pk 12oz can,10,THC,Beverages,,12pk 12oz can,2,Extra on 12pk to make up for 4pk,,76,58.4,,,,,58.4,29.2,0.2315789473684211,53.99,44.96,0.35053380782918153,59.99,49.96,0,51.99,67,Alot More - Varies ,"Capitol Beverage Sales, L.P.620221425903","Capitol Beverage Sales, L.P.","Capitol Beverage Sales, L.P.",Beverages,0.5,58.4,58.4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bellboy Corporation860006677688,Bellboy Corporation,Yes,Yes,Bellboy Corporation,Minny Grown,9912005,860006677688,Minny Grown Berry Bliss 10 Pack,,THC,Edibles,,,12,$200 order qty per store,140,120,96,,,,,96,8,0.19999999999999996,13.99,11.96,0.33110367892976594,17.49,11.96,0,X,50,Alot More - Varies ,Bellboy Corporation860006677688,Bellboy Corporation,Bellboy Corporation,Edibles,0.5,96,96,,,,,,,,,,,,,,,,,,,,,,,,,,,
